ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clolthes,Eyeware,Headware,Mouthpiece,Special
164,Gecko #164,1,2305.714285714286,1,,,,,,,Musketeer
625,Gecko #625,1,2305.714285714286,1,,,,,,,Mohawk
638,Gecko #638,1,2305.714285714286,1,,,,,,,Greek Emperor
745,Gecko #745,1,2305.714285714286,1,,,,,,,Sailor
900,Gecko #900,1,2305.714285714286,1,,,,,,,Roman
1031,Gecko #1031,1,2305.714285714286,1,,,,,,,Russian Mobster
1043,Gecko #1043,1,2305.714285714286,1,,,,,,,Rasta
1470,Gecko #1470,1,2305.714285714286,1,,,,,,,Boombox
2217,Gecko #2217,1,2305.714285714286,1,,,,,,,Alex
2218,Gecko #2218,1,2305.714285714286,1,,,,,,,AVA
2219,Gecko #2219,1,2305.714285714286,1,,,,,,,Blangs
2220,Gecko #2220,1,2305.714285714286,1,,,,,,,Mack Kryptstar
2221,Gecko #2221,1,2305.714285714286,1,,,,,,,Tommybob
2222,Gecko #2222,1,2305.714285714286,1,,,,,,,CodeCrafting
1619,Gecko #1619,15,2255.6713684550873,6,e8a1a2 ,Green Scales ,Hawaian Shirt Purple ,Cyber Glasses Orange ,Clown Hat ,Bandana Red ,
1624,Gecko #1624,16,2250.2605633826474,6,d0bdc3 ,Dark Green ,Pattern Shirt Red ,Cyber Glasses Orange ,Mummy Bandage Wrap ,No Mouthpiece ,
1268,Gecko #1268,17,2195.5260990941165,6,e8a1a2 ,Turquoise ,No Clothes ,No Eyeware ,Greek Hair ,Bandana Purple ,
347,Gecko #347,18,1337.0090330387272,6,afc9c8 ,Rainbow Scales ,Cyborg Shell ,No Eyeware ,Halo ,No Mouthpiece ,
386,Gecko #386,19,1245.6997711336794,6,b1d0b5 ,Rainbow Scales ,Plain Tee Purple ,No Eyeware ,Chef Hat ,No Mouthpiece ,
836,Gecko #836,20,1191.131885865015,6,ff8e84 ,Green Scales ,Hawaian Shirt Pink ,Retro Glasses Pink ,Ship Captain Cap ,No Mouthpiece ,
804,Gecko #804,21,1187.50600222034,6,ff8e84 ,Light Green ,Hawaian Shirt Purple ,No Eyeware ,Ship Captain Cap ,Tobacco Pipe L ,
1564,Gecko #1564,22,1178.723986388668,6,afc9c8 ,Light Green ,No Clothes ,Cyber Glasses Indigo ,Mexican Hat ,Party Blower Yellow ,
1250,Gecko #1250,23,1150.1695104570758,6,e8a1a2 ,Red ,Skull Vest Jagger ,No Eyeware ,Halo ,No Mouthpiece ,
261,Gecko #261,24,1140.7044179583038,6,ff8e84 ,Dark Green ,Pattern Shirt Grey ,No Eyeware ,Mexican Hat ,No Mouthpiece ,
337,Gecko #337,25,1128.6102552085515,6,ff8e84 ,Purple ,No Clothes ,Cyber Glasses Indigo ,Chef Hat ,No Mouthpiece ,
1723,Gecko #1723,26,1099.6323103935836,6,dbeef6 ,Light Green ,King Robe ,Winged Glasses  Blue Pink ,Fireman Hat ,No Mouthpiece ,
289,Gecko #289,27,889.0227692955068,6,f0d4e3 ,Green Scales ,Pattern Shirt Grey ,Laser Eyes Red ,Winged Helmet Grey ,No Mouthpiece ,
1018,Gecko #1018,28,887.9453747262329,6,d0bdc3 ,Light Green ,Cyborg Shell ,No Eyeware ,King Crown ,No Mouthpiece ,
1355,Gecko #1355,29,831.0873526770176,6,afc9c8 ,Green Scales ,Plain Shirt Indigo ,No Eyeware ,Winged Helmet Grey ,Joint ,
1402,Gecko #1402,30,829.5551410865745,6,cdf1f1 ,Light Green ,Pattern Shirt Grey ,Winged Glasses  Blue Pink ,Fireman Hat ,No Mouthpiece ,
1584,Gecko #1584,31,817.7816486412563,6,e8a1a2 ,Green Scales ,Plain Tee Purple ,Square Glasses Orange ,King Crown ,No Mouthpiece ,
1069,Gecko #1069,32,816.833099046387,6,8eb4c5 ,Turquoise ,Pattern Shirt Indigo ,Cyber Glasses Seagreen ,King Crown ,No Mouthpiece ,
1546,Gecko #1546,33,813.2378383002914,6,7bcccb ,Turquoise ,Formal Suit Blue ,Aviators Green ,Fireman Hat ,No Mouthpiece ,
